severity_label,id,incident_no,product_type,brand,mode,incident_type,status,service_type,is_failure_type,count_detail,open_datetime,close_datetime,response_datetime,resolved_datetime,open_to_close,open_to_close_hour,open_to_response,open_to_response_hour,response_to_resolved,response_to_resolved_hour,resolved_to_close,resolved_to_close_hour
Major,2241,SR-ES-23-2241,Server,HPE,3PAR StoreServ 8200,Hard Disk Drive Failure,Closed,Incident,false,2,2023-02-01 06:40:00,2023-02-01 12:00:00,2023-02-01 07:00:00,2023-02-01 12:00:00,0 days 05:20:00,5.333333333333333,0 days 00:20:00,0.3333333333333333,0 days 05:00:00,5.0,0 days 00:00:00,0.0
Major,2239,SR-ES-23-2239,Storage,EMC,VNX5300,Hard Disk Drive Failure,Closed,Incident,false,2,2023-01-31 11:14:00,2023-02-01 17:41:00,2023-01-31 11:19:00,2023-01-31 22:00:00,1 days 06:27:00,30.45,0 days 00:05:00,0.08333333333333333,0 days 10:41:00,10.683333333333334,0 days 19:41:00,19.683333333333334
Major,2226,SR-ES-23-2226,Server,HPE,Synergy 480 Gen10,Memory Failure,Closed,Incident,false,2,2023-01-29 11:10:00,2023-01-29 18:00:00,2023-01-29 11:30:00,2023-01-29 18:00:00,0 days 06:50:00,6.833333333333333,0 days 00:20:00,0.3333333333333333,0 days 06:30:00,6.5,0 days 00:00:00,0.0
Minor,2234,SR-ES-23-2234,Server,HPE,ProLiant DL560 Gen10,General Incident,Closed,Incident,false,8,2023-01-28 20:06:00,2023-01-30 20:48:00,2023-01-28 20:17:00,2023-01-30 20:48:00,2 days 00:42:00,48.7,0 days 00:11:00,0.18333333333333332,2 days 00:31:00,48.516666666666666,0 days 00:00:00,0.0
Major,2238,SR-ES-23-2238,Storage,NetApp,FAS8040,Hard Disk Drive Failure,Closed,Incident,false,1,2023-01-28 19:21:00,2023-01-29 18:00:00,2023-01-28 20:22:00,2023-01-28 20:34:00,0 days 22:39:00,22.65,0 days 01:01:00,1.0166666666666666,0 days 00:12:00,0.2,0 days 21:26:00,21.433333333333334
Minor,2230,SR-ES-23-2230,Server,HPE,ProLiant DL560 Gen10,General Incident,Closed,Incident,false,5,2023-01-26 23:54:00,2023-01-30 20:46:00,2023-01-26 23:59:00,2023-01-30 20:46:00,3 days 20:52:00,92.86666666666666,0 days 00:05:00,0.08333333333333333,3 days 20:47:00,92.78333333333333,0 days 00:00:00,0.0
Minor,2228,SR-ES-23-2228,Storage,NetApp,FAS8020,General Incident,Closed,Incident,false,2,2023-01-26 22:11:00,2023-01-27 12:09:00,2023-01-26 22:23:00,2023-01-27 12:09:00,0 days 13:58:00,13.966666666666667,0 days 00:12:00,0.2,0 days 13:46:00,13.766666666666667,0 days 00:00:00,0.0
Major,2227,SR-ES-23-2227,Server,HPE,ProLiant DL560 Gen10,Memory Failure,Closed,Incident,false,3,2023-01-26 17:11:00,2023-01-27 13:35:00,2023-01-26 17:20:00,2023-01-27 13:35:00,0 days 20:24:00,20.4,0 days 00:09:00,0.15,0 days 20:15:00,20.25,0 days 00:00:00,0.0
Minor,2221,SR-ES-23-2221,Storage,NetApp,FAS8020A,Hard Disk Drive Failure,Closed,Incident,false,3,2023-01-26 14:15:00,2023-01-26 21:07:00,2023-01-26 14:20:00,2023-01-26 19:10:00,0 days 06:52:00,6.866666666666666,0 days 00:05:00,0.08333333333333333,0 days 04:50:00,4.833333333333333,0 days 01:57:00,1.95
Minor,2231,SR-ES-23-2231,Server,HPE,ProLiant DL380p Gen10,Software,Closed,Incident,false,2,2023-01-26 13:20:00,2023-01-26 17:00:00,2023-01-26 13:20:00,2023-01-26 16:40:00,0 days 03:40:00,3.6666666666666665,0 days 00:00:00,0.0,0 days 03:20:00,3.3333333333333335,0 days 00:20:00,0.3333333333333333
