,date,count_daily_incident
0,2021-01-01,1.0
1,2021-01-02,0.0
2,2021-01-03,0.0
3,2021-01-04,0.0
4,2021-01-05,1.0
5,2021-01-06,1.0
6,2021-01-07,1.0
7,2021-01-08,0.0
8,2021-01-09,0.0
9,2021-01-10,0.0
10,2021-01-11,1.0
11,2021-01-12,0.0
12,2021-01-13,0.0
13,2021-01-14,0.0
14,2021-01-15,0.0
15,2021-01-16,0.0
16,2021-01-17,0.0
17,2021-01-18,0.0
18,2021-01-19,0.0
19,2021-01-20,0.0
20,2021-01-21,0.0
21,2021-01-22,0.0
22,2021-01-23,1.0
23,2021-01-24,0.0
24,2021-01-25,1.0
25,2021-01-26,1.0
26,2021-01-27,0.0
27,2021-01-28,1.0
28,2021-01-29,0.0
29,2021-01-30,0.0
30,2021-01-31,0.0
31,2021-02-01,0.0
32,2021-02-02,1.0
33,2021-02-03,1.0
34,2021-02-04,0.0
35,2021-02-05,0.0
36,2021-02-06,0.0
37,2021-02-07,0.0
38,2021-02-08,0.0
39,2021-02-09,1.0
40,2021-02-10,1.0
41,2021-02-11,2.0
42,2021-02-12,0.0
43,2021-02-13,0.0
44,2021-02-14,0.0
45,2021-02-15,0.0
46,2021-02-16,0.0
47,2021-02-17,0.0
48,2021-02-18,0.0
49,2021-02-19,0.0
50,2021-02-20,0.0
51,2021-02-21,0.0
52,2021-02-22,0.0
53,2021-02-23,0.0
54,2021-02-24,1.0
55,2021-02-25,1.0
56,2021-02-26,1.0
57,2021-02-27,0.0
58,2021-02-28,0.0
59,2021-03-01,2.0
60,2021-03-02,1.0
61,2021-03-03,2.0
62,2021-03-04,0.0
63,2021-03-05,1.0
64,2021-03-06,0.0
65,2021-03-07,0.0
66,2021-03-08,1.0
67,2021-03-09,1.0
68,2021-03-10,0.0
69,2021-03-11,0.0
70,2021-03-12,1.0
71,2021-03-13,0.0
72,2021-03-14,0.0
73,2021-03-15,0.0
74,2021-03-16,0.0
75,2021-03-17,0.0
76,2021-03-18,1.0
77,2021-03-19,1.0
78,2021-03-20,0.0
79,2021-03-21,0.0
80,2021-03-22,0.0
81,2021-03-23,1.0
82,2021-03-24,0.0
83,2021-03-25,0.0
84,2021-03-26,0.0
85,2021-03-27,0.0
86,2021-03-28,0.0
87,2021-03-29,0.0
88,2021-03-30,0.0
89,2021-03-31,0.0
90,2021-04-01,0.0
91,2021-04-02,0.0
92,2021-04-03,1.0
93,2021-04-04,0.0
94,2021-04-05,0.0
95,2021-04-06,0.0
96,2021-04-07,1.0
97,2021-04-08,0.0
98,2021-04-09,0.0
99,2021-04-10,0.0
100,2021-04-11,0.0
101,2021-04-12,0.0
102,2021-04-13,0.0
103,2021-04-14,0.0
104,2021-04-15,0.0
105,2021-04-16,0.0
106,2021-04-17,0.0
107,2021-04-18,0.0
108,2021-04-19,2.0
109,2021-04-20,0.0
110,2021-04-21,0.0
111,2021-04-22,0.0
112,2021-04-23,1.0
113,2021-04-24,0.0
114,2021-04-25,0.0
115,2021-04-26,1.0
116,2021-04-27,0.0
117,2021-04-28,0.0
118,2021-04-29,0.0
119,2021-04-30,0.0
120,2021-05-01,0.0
121,2021-05-02,0.0
122,2021-05-03,0.0
123,2021-05-04,0.0
124,2021-05-05,2.0
125,2021-05-06,0.0
126,2021-05-07,1.0
127,2021-05-08,0.0
128,2021-05-09,1.0
129,2021-05-10,1.0
130,2021-05-11,0.0
131,2021-05-12,0.0
