date,count_incident,datetime_imported
2022-01-01,4.0,2023-07-09 15:04:27.770878
2022-01-02,3.0,2023-07-09 15:04:27.770878
2022-01-03,0.0,2023-07-09 15:04:27.770878
2022-01-04,6.0,2023-07-09 15:04:27.770878
2022-01-05,6.0,2023-07-09 15:04:27.770878
2022-01-06,4.0,2023-07-09 15:04:27.770878
2022-01-07,8.0,2023-07-09 15:04:27.770878
2022-01-08,0.0,2023-07-09 15:04:27.770878
2022-01-09,1.0,2023-07-09 15:04:27.770878
2022-01-10,6.0,2023-07-09 15:04:27.770878
2022-01-11,6.0,2023-07-09 15:04:27.770878
2022-01-12,6.0,2023-07-09 15:04:27.770878
2022-01-13,10.0,2023-07-09 15:04:27.770878
2022-01-14,5.0,2023-07-09 15:04:27.770878
2022-01-15,2.0,2023-07-09 15:04:27.770878
2022-01-16,3.0,2023-07-09 15:04:27.770878
2022-01-17,9.0,2023-07-09 15:04:27.770878
2022-01-18,2.0,2023-07-09 15:04:27.770878
2022-01-19,6.0,2023-07-09 15:04:27.770878
2022-01-20,4.0,2023-07-09 15:04:27.770878
2022-01-21,6.0,2023-07-09 15:04:27.770878
2022-01-22,5.0,2023-07-09 15:04:27.770878
2022-01-23,1.0,2023-07-09 15:04:27.770878
2022-01-24,2.0,2023-07-09 15:04:27.770878
2022-01-25,1.0,2023-07-09 15:04:27.770878
2022-01-26,1.0,2023-07-09 15:04:27.770878
2022-01-27,3.0,2023-07-09 15:04:27.770878
2022-01-28,4.0,2023-07-09 15:04:27.770878
2022-01-29,1.0,2023-07-09 15:04:27.770878
2022-01-30,2.0,2023-07-09 15:04:27.770878
2022-01-31,6.0,2023-07-09 15:04:27.770878
2022-02-01,4.0,2023-07-09 15:04:27.770878
2022-02-02,5.0,2023-07-09 15:04:27.770878
2022-02-03,5.0,2023-07-09 15:04:27.770878
2022-02-04,5.0,2023-07-09 15:04:27.770878
2022-02-05,4.0,2023-07-09 15:04:27.770878
2022-02-06,2.0,2023-07-09 15:04:27.770878
2022-02-07,5.0,2023-07-09 15:04:27.770878
2022-02-08,4.0,2023-07-09 15:04:27.770878
2022-02-09,4.0,2023-07-09 15:04:27.770878
2022-02-10,6.0,2023-07-09 15:04:27.770878
2022-02-11,6.0,2023-07-09 15:04:27.770878
2022-02-12,3.0,2023-07-09 15:04:27.770878
2022-02-13,0.0,2023-07-09 15:04:27.770878
2022-02-14,4.0,2023-07-09 15:04:27.770878
2022-02-15,4.0,2023-07-09 15:04:27.770878
2022-02-16,0.0,2023-07-09 15:04:27.770878
2022-02-17,4.0,2023-07-09 15:04:27.770878
2022-02-18,7.0,2023-07-09 15:04:27.770878
2022-02-19,1.0,2023-07-09 15:04:27.770878
2022-02-20,1.0,2023-07-09 15:04:27.770878
2022-02-21,7.0,2023-07-09 15:04:27.770878
2022-02-22,5.0,2023-07-09 15:04:27.770878
2022-02-23,4.0,2023-07-09 15:04:27.770878
2022-02-24,4.0,2023-07-09 15:04:27.770878
2022-02-25,7.0,2023-07-09 15:04:27.770878
2022-02-26,7.0,2023-07-09 15:04:27.770878
2022-02-27,3.0,2023-07-09 15:04:27.770878
2022-02-28,3.0,2023-07-09 15:04:27.770878
2022-03-01,5.0,2023-07-09 15:04:27.770878
2022-03-02,4.0,2023-07-09 15:04:27.770878
2022-03-03,7.0,2023-07-09 15:04:27.770878
2022-03-04,8.0,2023-07-09 15:04:27.770878
2022-03-05,3.0,2023-07-09 15:04:27.770878
2022-03-06,3.0,2023-07-09 15:04:27.770878
2022-03-07,1.0,2023-07-09 15:04:27.770878
2022-03-08,4.0,2023-07-09 15:04:27.770878
2022-03-09,10.0,2023-07-09 15:04:27.770878
