id,severity_id,severity_name,sla,product_type,brand,service_type,incident_type,open_to_close_hour,response_to_resolved_hour,imported_at,severity
3900,2,Major,24x7 4Hrs Resolution Time,Hardware,Oracle,Request,General Incident,0.5333333333333333,0.16666666666666666,2023-11-10 17:30:05.073970,2
3918,2,Major,24x7 4Hrs Resolution Time,Software,VMWare,Request,Upgrade Software,134.38333333333333,124.68333333333334,2023-11-06 17:30:05.022976,2
3900,2,Major,24x7 4Hrs Resolution Time,Hardware,Oracle,Request,General Incident,0.5333333333333333,0.16666666666666666,2023-11-03 17:30:05.457713,2
3894,2,Major,24x7 4Hrs Resolution Time,Software,VMWare,Request,General Incident,15.95,0.9333333333333333,2023-11-01 17:30:05.007684,2
3941,2,Major,24x7 4Hrs Resolution Time,Software,Microsoft,Request,Software,35.0,22.833333333333332,2023-11-07 17:30:05.119020,2
3853,4,Cosmetic,24x7 4Hrs Response Time,Service,Zabbix,Request,General Incident,147.76666666666668,147.65,2023-11-04 17:30:04.786720,0
3857,4,Cosmetic,24x7 4Hrs Response Time,Software,VMWare,Request,General Incident,67.1,66.96666666666667,2023-11-04 17:30:04.786720,0
3961,4,Cosmetic,24x7 4Hrs Resolution Time,Software,VMWare,Request,Upgrade Software,2.0,1.9833333333333334,2023-11-10 17:30:05.073970,0
3962,4,Cosmetic,24x7 4Hrs Resolution Time,Software,VMWare,Request,Upgrade Software,2.0,1.9833333333333334,2023-11-10 17:30:05.073970,0
3893,4,Cosmetic,24x7 4Hrs Response Time,Software,Red Hat,Request,General Incident,0.5,0.08333333333333333,2023-11-01 17:30:05.007684,0
3924,4,Cosmetic,24x7 4Hrs Response Time,Server,DELL,Request,General Incident,60.05,15.8,2023-11-07 17:30:05.119020,0
3934,4,Cosmetic,24x7 4Hrs Response Time,Storage,NetApp,Request,General Incident,5.683333333333334,0.6833333333333333,2023-11-07 17:30:05.119020,0
3895,4,Cosmetic,24x7 4Hrs Resolution Time,Software,VMWare,Request,Upgrade Software,2.0,1.9833333333333334,2023-11-02 17:30:04.831668,0
3951,1,Critical,8x5 4Hrs Response Time,Software,Microsoft,Incident,Software,0.2833333333333333,0.2833333333333333,2023-11-08 17:30:05.493662,3
3891,2,Major,24x7 4Hrs Response Time,Software,VMWare,Incident,Software,56.5,56.166666666666664,2023-11-04 17:30:04.786720,2
3906,2,Major,24x7 4Hrs Resolution Time,Firewall,Palo Alto,Incident,General Incident,0.6,0.6,2023-11-04 17:30:04.786720,2
3905,2,Major,24x7 4Hrs Resolution Time,Firewall,Palo Alto,Incident,General Incident,0.8333333333333334,0.8,2023-11-04 17:30:04.786720,2
3579,2,Major,8x5 4Hrs Response Time,Access Point,HPE,Incident,Other Failure,790.25,790.0,2023-11-04 17:30:04.786720,2
3889,2,Major,24x7 4Hrs Response Time,Server,HPE,Incident,Software,38.11666666666667,37.983333333333334,2023-11-04 17:30:04.786720,2
3959,2,Major,24x7 4Hrs Response Time,Other,APC,Incident,General Incident,19.416666666666668,1.0,2023-11-11 17:30:05.153601,2
3958,2,Major,24x7 4Hrs Response Time,Other,APC,Incident,General Incident,19.483333333333334,1.0,2023-11-11 17:30:05.153601,2
