productype_name,brand_name,sla_name,warranty_months,incident_type_name,service_type_name,incident_response_minutes,severity_class
Storage,NetApp,8x5 4Hrs Response Time,11,Upgrade Software,Request,0,Cosmatic
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,908,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Storage,HPE,24x7 6Hrs Resolution Time,11,General Incident,Incident,7,Minor
Server,HPE,24x7 4Hrs Response Time,60,General Incident,Incident,8,Major
Storage,EMC,8x5 4Hrs Response Time,11,Hard Disk Drive Failure,Incident,4,Minor
Server,HPE,24x7 4Hrs Resolution Time,13,General Incident,Request,10,Minor
Storage,HPE,24x7 4Hrs Resolution Time,60,General Incident,Request,0,Minor
Server,HPE,24x7 4Hrs Resolution Time,48,Memory Failure,Incident,49,Critical
Software,Veeam,24x7 4Hrs Resolution Time,11,Software,Incident,9,Major
Storage,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,1,Minor
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,20,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,20,Critical
Storage,HPE,24x7 4Hrs Resolution Time,36,General Incident,Request,19,Minor
Storage,HPE,24x7 4Hrs Resolution Time,12,General Incident,Request,24,Minor
Server,HPE,9x5xNBD 4Hrs Response Time,36,Memory Failure,Incident,45,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,20,Critical
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,20,Critical
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Server,HPE,24x7 4Hrs Resolution Time,48,General Incident,Incident,1431,Major
Storage,NetApp,24x7 4Hrs Response Time,24,General Incident,Incident,33,Major
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Server,HPE,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,4,Critical
Software,VMWare,24x7 4Hrs Response Time,11,General Incident,Request,50,Cosmatic
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Server,DELL,24x7 6Hrs Resolution Time,60,General Incident,Request,50,Cosmatic
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,4,Minor
Server,HPE,24x7 4Hrs Resolution Time,12,General Incident,Request,0,Major
Software,VMWare,24x7 4Hrs Response Time,11,General Incident,Request,6,Cosmatic
Server,DELL,24x7 6Hrs Resolution Time,11,General Incident,Request,0,Cosmatic
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,11,Minor
Software,VMWare,24x7 4Hrs Resolution Time,11,General Incident,Incident,3,Critical
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,201,Minor
Hardware,Oracle,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,30,Major
Server,DELL,24x7 6Hrs Resolution Time,60,General Incident,Request,49,Cosmatic
Storage,NetApp,24x7 4Hrs Resolution Time,12,Hard Disk Drive Failure,Incident,5,Critical
Server,HPE,24x7 4Hrs Resolution Time,35,Memory Failure,Incident,0,Major
Other,Veritas,24x7 4Hrs Response Time,23,Hard Disk Drive Failure,Incident,11,Major
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Server,HPE,24x7 4Hrs Resolution Time,60,Memory Failure,Incident,1349,Major
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,0,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,21,Minor
Storage,EMC,24x7 4Hrs Resolution Time,11,Hard Disk Drive Failure,Incident,22,Minor
Storage,EMC,8x5 4Hrs Response Time,11,Hard Disk Drive Failure,Incident,5,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,7,Minor
Software,VMWare,24x7 6Hrs Resolution Time,12,General Incident,Incident,18,Minor
