id,severity_id,severity_name,count_detail,sla,product_type,brand,service_type,incident_type,open_datetime,close_datetime,response_datetime,resolved_datetime,updated_at,imported_at
368,1,Critical,1,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,2022-02-14 13:43:00,2022-02-14 15:00:00,2022-02-14 14:00:00,2022-02-14 15:00:00,2022-04-12 15:07:15,2023-02-22 16:41:28.740783
369,3,Minor,1,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,2022-02-14 17:47:00,2022-02-14 21:00:00,2022-02-14 18:00:00,2022-02-14 21:00:00,2022-04-12 15:12:10,2023-02-22 16:41:28.740783
65,4,Cosmatic,1,24x7 6Hrs Resolution Time,Software,VMWare,Request,General Incident,2022-02-14 09:35:00,2022-02-14 15:24:00,2022-02-14 09:35:00,2022-02-14 15:24:00,2022-10-10 19:54:55,2023-02-22 16:41:28.740783
270,4,Cosmatic,2,24x7 6Hrs Resolution Time,Software,Red Hat,Request,General Incident,2022-02-14 16:41:00,2022-02-18 17:08:00,2022-02-14 17:48:00,2022-02-17 23:27:00,2022-10-10 19:55:05,2023-02-22 16:41:28.740783
2310,2,Major,2,24x7 4Hrs Response Time,Server,HPE,Incident,System Board Failure,2023-02-14 19:54:00,2023-02-15 15:00:00,2023-02-14 20:00:00,2023-02-15 15:00:00,2023-02-17 08:57:27,2023-02-22 16:41:28.740783
2303,2,Major,1,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,2023-02-14 10:23:00,2023-12-14 23:00:00,2023-02-14 10:30:00,2023-12-14 23:00:00,2023-02-15 22:18:16,2023-02-22 16:41:28.740783
2307,3,Minor,2,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,Hard Disk Drive Failure,2023-02-14 16:30:00,2023-02-15 21:30:00,2023-02-14 16:31:00,2023-02-15 21:30:00,2023-02-16 10:13:57,2023-02-22 16:41:28.740783
2339,4,Cosmatic,1,24x7 4Hrs Resolution Time,Software,VMWare,Request,Software,2023-02-14 17:26:00,2023-02-15 03:00:00,2023-02-14 17:33:00,2023-02-15 03:00:00,2023-02-21 10:25:23,2023-02-22 16:41:28.740783
123,3,Minor,1,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,2022-01-07 20:00:00,2022-01-08 03:00:00,2022-01-07 20:00:00,2022-01-08 03:00:00,2022-04-02 14:34:48,2023-02-22 16:41:28.740783
487,3,Minor,2,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,Hard Disk Drive Failure,2022-01-07 22:01:00,2022-01-12 16:00:00,2022-01-07 22:01:00,2022-01-12 15:40:00,2022-04-28 15:41:30,2023-02-22 16:41:28.740783
223,3,Minor,1,24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,2022-01-07 17:21:00,2022-01-07 21:00:00,2022-01-07 18:00:00,2022-01-07 21:00:00,2022-04-04 16:37:39,2023-02-22 16:41:28.740783
436,2,Major,1,24x7 4Hrs Resolution Time,Software,VMWare,Incident,Software,2022-01-07 18:18:00,2022-01-07 19:40:00,2022-01-07 18:25:00,2022-01-07 19:40:00,2022-04-27 12:35:52,2023-02-22 16:41:28.740783
435,2,Major,1,24x7 4Hrs Resolution Time,Software,Veeam,Incident,Software,2022-01-07 09:28:00,2022-01-07 12:41:00,2022-01-07 09:35:00,2022-01-07 12:41:00,2022-04-27 12:35:58,2023-02-22 16:41:28.740783
485,4,Cosmatic,1,24x7 4Hrs Resolution Time,Software,VMWare,Request,Software,2022-01-07 10:00:00,2022-01-07 17:00:00,2022-01-07 10:00:00,2022-01-07 17:00:00,2022-04-28 15:27:33,2023-02-22 16:41:28.740783
298,4,Cosmatic,1,24x7 6Hrs Resolution Time,Server,DELL,Request,General Incident,2022-01-07 16:42:00,2022-01-13 21:09:00,2022-01-07 16:50:00,2022-01-13 21:09:00,2022-11-02 19:40:44,2023-02-22 16:41:28.740783
484,3,Minor,2,24x7 6Hrs Resolution Time,Storage,NetApp,Incident,General Incident,2022-01-07 20:31:00,2022-01-07 23:00:00,2022-01-07 21:48:00,2022-01-07 22:30:00,2022-04-28 15:15:05,2023-02-22 16:41:28.740783
1068,3,Minor,11,24x7 4Hrs Resolution Time,Other,F5,Incident,General Incident,2022-07-11 14:50:00,2022-08-04 09:46:00,2022-07-11 14:54:00,2022-07-26 16:34:00,2022-08-04 10:38:20,2023-02-22 16:41:28.740783
1085,3,Minor,1,24x7 4Hrs Resolution Time,Hardware,Oracle,Request,General Incident,2022-07-11 10:05:00,2022-07-12 16:00:00,2022-07-11 10:06:00,2022-07-12 15:25:00,2022-07-18 13:45:54,2023-02-22 16:41:28.740783
1061,3,Minor,4,24x7 4Hrs Resolution Time,Software,Red Hat,Request,OS / Firmware,2022-07-11 09:00:00,2022-08-02 22:00:00,2022-07-11 09:00:00,2022-08-02 22:00:00,2022-08-09 10:32:41,2023-02-22 16:41:28.740783
1180,4,Cosmatic,1,24x7 4Hrs Response Time,Software,YIP,Request,General Incident,2022-07-11 08:45:00,2022-07-11 18:25:00,2022-07-11 18:25:00,2022-07-11 18:25:00,2022-10-10 20:06:20,2023-02-22 16:41:28.740783
1141,2,Major,1,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,2022-07-11 10:52:00,2022-07-11 13:10:00,2022-07-11 11:01:00,2022-07-11 13:10:00,2022-07-25 12:56:52,2023-02-22 16:41:28.740783
597,3,Minor,1,24x7 4Hrs Response Time,Storage,NetApp,Request,General Incident,2020-10-20 12:12:00,2020-10-27 12:41:00,2020-10-26 17:33:00,2020-10-26 17:33:00,2022-05-06 21:15:21,2023-02-22 16:41:28.740783
952,2,Major,3,9x5xNBD 4Hrs Response Time,Server,HPE,Incident,System Board Failure,2022-06-19 22:00:00,2022-06-21 16:59:00,2022-06-19 22:08:00,2022-06-21 14:00:00,2022-06-28 10:47:30,2023-02-22 16:41:28.740783
1208,2,Major,1,24x7 4Hrs Resolution Time,Server,HPE,Request,Software,2022-07-26 14:00:00,2022-07-26 22:20:00,2022-07-26 18:20:00,2022-07-26 22:20:00,2022-11-07 16:50:13,2023-02-22 16:41:28.740783
1165,2,Major,2,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,2022-07-26 17:48:00,2022-07-27 15:10:00,2022-07-27 10:31:00,2022-07-27 15:10:00,2022-07-30 07:44:20,2023-02-22 16:41:28.740783
1164,2,Major,2,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,2022-07-26 18:16:00,2022-07-27 11:20:00,2022-07-26 18:21:00,2022-07-27 11:20:00,2022-07-30 07:46:35,2023-02-22 16:41:28.740783
1163,2,Major,2,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,2022-07-26 22:14:00,2022-07-27 21:19:00,2022-07-27 09:20:00,2022-07-27 21:19:00,2022-07-30 07:45:58,2023-02-22 16:41:28.740783
1169,2,Major,2,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,General Incident,2022-07-26 13:56:00,2022-07-27 09:05:00,2022-07-26 14:23:00,2022-07-26 15:14:00,2022-07-30 08:20:24,2023-02-22 16:41:28.740783
1170,4,Cosmatic,6,24x7 4Hrs Response Time,Storage,NetApp,Request,General Incident,2022-07-26 18:06:00,2022-08-05 22:51:00,2022-07-27 07:05:00,2022-08-04 22:47:00,2022-10-10 20:10:06,2023-02-22 16:41:28.740783
1197,4,Cosmatic,1,24x7 4Hrs Resolution Time,Access Point,Cisco,Request,General Incident,2022-07-26 10:00:00,2022-07-26 10:30:00,2022-07-26 10:00:00,2022-07-26 10:30:00,2022-08-02 09:22:37,2023-02-22 16:41:28.740783
1200,4,Cosmatic,1,24x7 4Hrs Resolution Time,Access Point,Cisco,Request,Configuration Change,2022-07-26 11:30:00,2022-07-26 12:00:00,2022-07-26 11:30:00,2022-07-26 12:00:00,2022-08-02 10:18:08,2023-02-22 16:41:28.740783
1202,4,Cosmatic,1,24x7 4Hrs Resolution Time,Access Point,Cisco,Request,Configuration Change,2022-07-26 12:00:00,2022-07-26 12:30:00,2022-07-26 12:00:00,2022-07-26 12:30:00,2022-08-02 10:20:59,2023-02-22 16:41:28.740783
1203,4,Cosmatic,1,24x7 4Hrs Resolution Time,Access Point,Cisco,Request,Configuration Change,2022-07-26 12:30:00,2022-07-26 13:00:00,2022-07-26 12:30:00,2022-07-26 13:00:00,2022-08-02 10:23:42,2023-02-22 16:41:28.740783
1198,4,Cosmatic,1,24x7 4Hrs Resolution Time,Access Point,Cisco,Request,Configuration Change,2022-07-26 10:30:00,2022-07-26 11:00:00,2022-07-26 10:30:00,2022-07-26 11:00:00,2022-08-02 09:59:26,2023-02-22 16:41:28.740783
1205,4,Cosmatic,1,24x7 4Hrs Resolution Time,Access Point,Cisco,Incident,Configuration Change,2022-07-26 13:00:00,2022-07-26 13:30:00,2022-07-26 13:00:00,2022-07-26 13:30:00,2022-08-02 10:27:28,2023-02-22 16:41:28.740783
1199,4,Cosmatic,1,24x7 4Hrs Resolution Time,Access Point,Cisco,Incident,Configuration Change,2022-07-26 11:00:00,2022-07-26 11:30:00,2022-07-26 11:00:00,2022-07-26 11:30:00,2022-08-02 10:15:20,2023-02-22 16:41:28.740783
1196,2,Major,2,24x7 4Hrs Resolution Time,Storage,Oracle,Incident,Hard Disk Drive Failure,2022-07-26 10:00:00,2022-07-26 12:00:00,2022-07-26 10:00:00,2022-07-26 12:00:00,2022-08-02 09:05:20,2023-02-22 16:41:28.740783
198,1,Critical,0,24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,2022-03-21 10:09:00,2022-03-21 22:00:00,2022-03-21 10:15:00,2022-03-21 22:00:00,2022-04-04 14:10:37,2023-02-22 16:41:28.740783
13,1,Critical,1,24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,2022-03-21 10:10:00,2022-03-21 22:00:00,2022-03-21 10:30:00,2022-03-21 22:00:00,2022-03-24 22:13:02,2023-02-22 16:41:28.740783
200,1,Critical,0,24x7 4Hrs Resolution Time,Server,HPE,Incident,Memory Failure,2022-03-21 23:11:00,2022-03-22 05:00:00,2022-03-21 23:30:00,2022-03-22 05:00:00,2022-04-04 14:15:19,2023-02-22 16:41:28.740783
14,1,Critical,1,24x7 4Hrs Resolution Time,Server,HPE,Incident,Memory Failure,2022-03-21 23:11:00,2022-03-22 03:20:00,2022-03-22 00:00:00,2022-03-22 03:20:00,2022-03-29 14:21:39,2023-02-22 16:41:28.740783
23,2,Major,5,24x7 4Hrs Response Time,Hardware,HPE,Incident,General Incident,2022-03-21 16:47:00,2022-03-25 23:00:00,2022-03-21 16:55:00,2022-03-25 23:00:00,2022-04-02 23:55:03,2023-02-22 16:41:28.740783
214,3,Minor,1,24x7 4Hrs Resolution Time,Server,HPE,Request,General Incident,2022-03-21 18:58:00,2022-03-22 17:15:00,2022-03-21 19:13:00,2022-03-22 17:00:00,2022-04-04 15:38:27,2023-02-22 16:41:28.740783
224,3,Minor,1,24x7 4Hrs Response Time,Software,Veritas,Request,General Incident,2022-03-21 15:05:00,2022-04-01 08:40:00,2022-03-24 16:51:00,2022-04-01 07:40:00,2022-04-04 16:44:09,2023-02-22 16:41:28.740783
1101,3,Minor,1,24x7 4Hrs Resolution Time,Access Point,Cisco,Incident,General Incident,2022-03-21 09:00:00,2022-03-21 12:00:00,2022-03-21 09:00:00,2022-03-21 12:00:00,2022-07-20 13:40:30,2023-02-22 16:41:28.740783
370,3,Minor,1,24x7 6Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,2022-03-21 13:40:00,2022-03-21 16:00:00,2022-03-21 13:50:00,2022-03-21 16:00:00,2022-04-12 15:13:30,2023-02-22 16:41:28.740783
313,4,Cosmatic,1,24x7 6Hrs Resolution Time,Storage,NetApp,Request,General Incident,2022-03-21 11:30:00,2022-03-21 13:17:00,2022-03-21 11:30:00,2022-03-21 13:17:00,2022-10-10 19:57:43,2023-02-22 16:41:28.740783
2314,3,Minor,2,24x7 4Hrs Response Time,Software,VMWare,Incident,Software,2023-02-15 15:45:00,2023-02-16 13:01:00,2023-02-15 15:49:00,2023-02-16 13:01:00,2023-02-17 10:16:29,2023-02-22 16:41:28.740783
2315,3,Minor,4,24x7 4Hrs Response Time,Software,VMWare,Incident,Software,2023-02-15 17:30:00,2023-02-16 13:46:00,2023-02-15 17:55:00,2023-02-16 13:46:00,2023-02-17 10:22:20,2023-02-22 16:41:28.740783
2311,2,Major,2,24x7 4Hrs Response Time,Software,VMWare,Incident,Software,2023-02-15 09:00:00,2023-02-15 15:00:00,2023-02-15 09:30:00,2023-02-15 15:00:00,2023-02-16 13:58:43,2023-02-22 16:41:28.740783
2340,2,Major,1,24x7 4Hrs Resolution Time,Software,Veeam,Incident,Software,2023-02-15 14:07:00,2023-02-15 18:00:00,2023-02-15 14:13:00,2023-02-15 18:00:00,2023-02-21 10:32:56,2023-02-22 16:41:28.740783
2331,2,Major,1,24x7 4Hrs Resolution Time,Firewall,Palo Alto,Incident,General Incident,2023-02-15 15:18:00,2023-02-15 15:30:00,2023-02-15 15:19:00,2023-02-15 15:30:00,2023-02-20 11:47:09,2023-02-22 16:41:28.740783
2329,2,Major,1,24x7 4Hrs Resolution Time,Firewall,Palo Alto,Incident,General Incident,2023-02-15 10:35:00,2023-02-15 11:00:00,2023-02-15 10:36:00,2023-02-15 11:00:00,2023-02-20 11:36:52,2023-02-22 16:41:28.740783
2330,2,Major,1,24x7 4Hrs Resolution Time,Firewall,Palo Alto,Incident,General Incident,2023-02-15 13:58:00,2023-02-15 14:30:00,2023-02-15 13:59:00,2023-02-15 14:30:00,2023-02-20 11:43:02,2023-02-22 16:41:28.740783
2306,3,Minor,2,24x7 6Hrs Resolution Time,Storage,NetApp,Incident,Network Cable Failure,2023-02-15 14:00:00,2023-02-15 16:40:00,2023-02-15 14:00:00,2023-02-15 16:40:00,2023-02-15 17:13:47,2023-02-22 16:41:28.740783
2305,3,Minor,1,24x7 6Hrs Resolution Time,Storage,NetApp,Incident,OS / Firmware,2023-02-15 10:30:00,2023-02-15 11:30:00,2023-02-15 10:31:00,2023-02-15 11:30:00,2023-02-15 13:31:48,2023-02-22 16:41:28.740783
930,2,Major,1,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,Power Supply Failure,2022-06-05 09:32:00,2022-06-05 11:59:00,2022-06-05 10:00:00,2022-06-05 10:00:00,2022-06-14 12:32:58,2023-02-22 16:41:28.740783
635,3,Minor,1,24x7 4Hrs Response Time,Storage,NetApp,Request,General Incident,2021-01-07 14:12:00,2021-01-08 15:50:00,2021-01-07 14:20:00,2021-01-08 15:49:00,2022-05-09 22:51:39,2023-02-22 16:41:28.740783
219,3,Minor,1,24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,2022-02-28 20:00:00,2022-03-01 12:20:00,2022-03-01 11:00:00,2022-03-01 12:20:00,2022-04-04 16:02:15,2023-02-22 16:41:28.740783
71,3,Minor,1,24x7 6Hrs Resolution Time,Software,VMWare,Incident,General Incident,2022-02-28 09:08:00,2022-02-28 13:38:00,2022-02-28 09:48:00,2022-02-28 13:38:00,2022-03-31 19:40:46,2023-02-22 16:41:28.740783
