severity_id,severity_name,sla,product_type,brand,service_type,incident_type,open_to_close_hour,response_to_resolved_hour,label_multi_severity,label_binary_severity
3,Minor,24x7 4Hrs Resolution Time,Tape Library,Oracle,Incident,Hard Disk Drive Failure,26.0,26.0,1,0
3,Minor,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,115.83333333333333,115.33333333333333,1,0
4,Cosmetic,24x7 6Hrs Resolution Time,Storage,NetApp,Request,General Incident,8.9,8.9,0,0
3,Minor,24x7 4Hrs Response Time,Software,VMWare,Incident,Software,1.9166666666666667,1.8166666666666667,1,0
2,Major,24x7 4Hrs Response Time,Server,HPE,Incident,General Incident,10.816666666666666,10.533333333333333,2,1
3,Minor,24x7 4Hrs Resolution Time,Server,Oracle,Incident,CPU Failure,29.0,28.833333333333332,1,0
3,Minor,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,2.5,1.8333333333333333,1,0
2,Major,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,General Incident,1185.9833333333333,297.73333333333335,2,1
2,Major,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,145.5,143.41666666666666,2,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,4.166666666666667,4.166666666666667,2,1
3,Minor,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,Hard Disk Drive Failure,45.016666666666666,13.7,1,0
3,Minor,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,Hard Disk Drive Failure,22.9,5.1,1,0
3,Minor,24x7 4Hrs Response Time,Storage,NetApp,Incident,Hard Disk Drive Failure,3.6666666666666665,3.6666666666666665,1,0
2,Major,24x7 4Hrs Response Time,Server,HPE,Incident,Hard Disk Drive Failure,20.5,20.25,2,1
3,Minor,24x7 4Hrs Response Time,Storage,NetApp,Incident,Hard Disk Drive Failure,16.033333333333335,16.033333333333335,1,0
3,Minor,24x7 4Hrs Response Time,Storage,NetApp,Request,General Incident,2.6666666666666665,0.9,1,0
4,Cosmetic,24x7 4Hrs Resolution Time,Server,HPE,Request,General Incident,0.3333333333333333,0.3333333333333333,0,0
4,Cosmetic,24x7 6Hrs Resolution Time,Software,YIP,Request,General Incident,557.2,502.2,0,0
3,Minor,24x7 4Hrs Response Time,Storage,NetApp,Incident,Hard Disk Drive Failure,261.5,261.3333333333333,1,0
2,Major,24x7 4Hrs Response Time,Storage,NetApp,Incident,Hard Disk Drive Failure,7.983333333333333,7.75,2,1
4,Cosmetic,24x7 4Hrs Resolution Time,Server,HPE,Request,Software,11.0,9.0,0,0
2,Major,24x7 6Hrs Response Time,Server,HPE,Incident,General Incident,89.4,89.15,2,1
3,Minor,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,9.566666666666666,9.433333333333334,1,0
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Request,General Incident,4.0,4.0,2,1
3,Minor,24x7 6Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,2.3333333333333335,2.1666666666666665,1,0
2,Major,24x7 4Hrs Resolution Time,Software,VMWare,Incident,General Incident,4.75,4.6,2,1
2,Major,24x7 4Hrs Response Time,Storage,DELL,Request,General Incident,73.73333333333333,69.0,2,1
2,Major,24x7 4Hrs Response Time,Storage,NetApp,Incident,Hard Disk Drive Failure,7.95,7.45,2,1
2,Major,24x7 6Hrs Response Time,Server,HPE,Incident,General Incident,92.23333333333333,92.1,2,1
3,Minor,24x7 6Hrs Resolution Time,Software,eUnite,Incident,Software,6.9,1.9166666666666667,1,0
2,Major,24x7 4Hrs Resolution Time,Server,Oracle,Incident,General Incident,334.8666666666667,334.8666666666667,2,1
4,Cosmetic,24x7 4Hrs Response Time,Storage,NetApp,Request,General Incident,458.3666666666667,458.26666666666665,0,0
3,Minor,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,1.9166666666666667,1.8333333333333333,1,0
4,Cosmetic,24x7 4Hrs Resolution Time,Access Point,Cisco,Incident,General Incident,1.0,1.0,0,0
4,Cosmetic,24x7 4Hrs Response Time,Software,VMWare,Request,General Incident,8.716666666666667,8.0,0,0
3,Minor,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,27.933333333333334,26.516666666666666,1,0
4,Cosmetic,24x7 4Hrs Resolution Time,Server,HPE,Request,Maintenance System,5.483333333333333,5.483333333333333,0,0
4,Cosmetic,24x7 4Hrs Response Time,Storage,NetApp,Request,General Incident,319.6,312.51666666666665,0,0
4,Cosmetic,24x7 4Hrs Response Time,Software,VMWare,Request,General Incident,1.7833333333333334,0.95,0,0
3,Minor,24x7 4Hrs Response Time,Software,VMWare,Incident,Software,2.85,2.7333333333333334,1,0
3,Minor,24x7 4Hrs Response Time,Storage,NetApp,Request,Software,1087.1666666666667,1085.5,1,0
2,Major,24x7 4Hrs Response Time,Server,HPE,Incident,General Incident,40.35,40.2,2,1
2,Major,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,Hard Disk Drive Failure,24.483333333333334,24.416666666666668,2,1
3,Minor,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,317.21666666666664,317.05,1,0
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,3.2666666666666666,3.0,2,1
3,Minor,24x7 4Hrs Response Time,Software,VMWare,Incident,Software,138.3,19.133333333333333,1,0
2,Major,24x7 4Hrs Response Time,Storage,Veritas,Incident,Backup Failure,672.2833333333333,522.2333333333333,2,1
2,Major,24x7 6Hrs Resolution Time,Software,SAPB1,Incident,General Incident,3.5,3.4833333333333334,2,1
4,Cosmetic,24x7 4Hrs Response Time,Storage,NetApp,Request,General Incident,140.23333333333332,23.983333333333334,0,0
4,Cosmetic,24x7 4Hrs Resolution Time,Switch,Cisco,Request,Report,1.0,1.0,0,0
4,Cosmetic,24x7 4Hrs Resolution Time,Software,VMWare,Request,Upgrade Software,14.5,2.4833333333333334,0,0
2,Major,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,243.0,238.91666666666666,2,1
2,Major,24x7 4Hrs Resolution Time,Access Point,Cisco,Incident,General Incident,127.16666666666667,6.0,2,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Request,General Incident,5.133333333333334,4.133333333333334,2,1
3,Minor,24x7 4Hrs Resolution Time,Software,HPE,Request,General Incident,0.9333333333333333,0.75,1,0
2,Major,24x7 6Hrs Resolution Time,Software,SAPB1,Incident,Software,120.98333333333333,120.83333333333333,2,1
2,Major,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,Hard Disk Drive Failure,21.066666666666666,20.833333333333332,2,1
2,Major,24x7 4Hrs Response Time,Firewall,Palo Alto,Incident,Controller/Node Failure,13.35,12.116666666666667,2,1
3,Minor,24x7 4Hrs Resolution Time,Software,Red Hat,Request,Software,3.0,3.0,1,0
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,3.933333333333333,3.85,2,1
